,roman_cp,probability
504,"vi,ii,I,ii,V/vi","0.138,0.063,0.147,0.142,0.081"
505,"vi,ii,I,IV,vi","0.138,0.063,0.147,0.112,0.571"
506,"vi,ii,I,IV,V","0.138,0.063,0.147,0.112,0.071"
507,"vi,ii,I,vi,ii","0.138,0.063,0.147,0.11,0.793"
508,"vi,ii,I,vi,I","0.138,0.063,0.147,0.11,0.138"
509,"vi,ii,I,V/vi,vi","0.138,0.063,0.147,0.075,1"
510,"vi,ii,IV,V,vi","0.138,0.063,0.121,0.356,0.451"
511,"vi,ii,IV,V,I","0.138,0.063,0.121,0.356,0.211"
512,"vi,ii,IV,V,IV","0.138,0.063,0.121,0.356,0.169"
513,"vi,ii,IV,V,iii","0.138,0.063,0.121,0.356,0.085"
514,"vi,ii,IV,V,ii","0.138,0.063,0.121,0.356,0.056"
515,"vi,ii,IV,I,vi","0.138,0.063,0.121,0.218,0.419"
516,"vi,ii,IV,I,iii<sup>6</sup><sub>4</sub>","0.138,0.063,0.121,0.218,0.186"
517,"vi,ii,IV,I,V","0.138,0.063,0.121,0.218,0.116"
518,"vi,ii,IV,I,IV<sup>4</sup><sub>3</sub>","0.138,0.063,0.121,0.218,0.093"
519,"vi,ii,IV,V/vi,vi","0.138,0.063,0.121,0.126,0.917"
520,"vi,ii,IV,V/vi,IV","0.138,0.063,0.121,0.126,0.083"
521,"vi,ii,IV,iii,vi","0.138,0.063,0.121,0.074,0.333"
522,"vi,ii,IV,iii,IV","0.138,0.063,0.121,0.074,0.267"
523,"vi,ii,IV,iii,V","0.138,0.063,0.121,0.074,0.267"
524,"vi,ii,IV,iii,I","0.138,0.063,0.121,0.074,0.133"
525,"vi,ii,IV,vi,vi<sup>4</sup><sub>2</sub>","0.138,0.063,0.121,0.064,0.167"
526,"vi,ii,IV,vi,ii<sup>7</sup>","0.138,0.063,0.121,0.064,0.167"
527,"vi,ii,IV,vi,iii","0.138,0.063,0.121,0.064,0.083"
528,"vi,ii,IV,vi,ii","0.138,0.063,0.121,0.064,0.083"
529,"vi,ii,iii,vi,ii","0.138,0.063,0.07,0.464,0.615"
530,"vi,ii,iii,vi,V","0.138,0.063,0.07,0.464,0.192"
531,"vi,ii,iii,vi,IV","0.138,0.063,0.07,0.464,0.115"
532,"vi,ii,iii,IV,V","0.138,0.063,0.07,0.273,0.8"
533,"vi,ii,iii,IV,iii","0.138,0.063,0.07,0.273,0.1"
534,"vi,ii,iii,V,I","0.138,0.063,0.07,0.087,0.444"
535,"vi,iii,IV,V,vi","0.138,0.06,0.447,0.361,0.625"
536,"vi,iii,IV,V,I","0.138,0.06,0.447,0.361,0.217"
537,"vi,iii,IV,V,iii","0.138,0.06,0.447,0.361,0.067"
538,"vi,iii,IV,I,vi","0.138,0.06,0.447,0.284,0.346"
539,"vi,iii,IV,I,V","0.138,0.06,0.447,0.284,0.229"
540,"vi,iii,IV,I,ii","0.138,0.06,0.447,0.284,0.178"
541,"vi,iii,IV,I,IV","0.138,0.06,0.447,0.284,0.131"
542,"vi,iii,IV,ii,iii","0.138,0.06,0.447,0.103,0.359"
543,"vi,iii,IV,ii,V","0.138,0.06,0.447,0.103,0.179"
544,"vi,iii,IV,ii,vi","0.138,0.06,0.447,0.103,0.167"
545,"vi,iii,IV,ii,I","0.138,0.06,0.447,0.103,0.09"
546,"vi,iii,IV,vi,iii","0.138,0.06,0.447,0.078,0.783"
547,"vi,iii,IV,vi,V","0.138,0.06,0.447,0.078,0.183"
548,"vi,iii,vi,iii,vi","0.138,0.06,0.215,0.559,0.653"
549,"vi,iii,vi,iii,V","0.138,0.06,0.215,0.559,0.099"
550,"vi,iii,vi,iii,ii","0.138,0.06,0.215,0.559,0.089"
551,"vi,iii,vi,iii,IV","0.138,0.06,0.215,0.559,0.069"
552,"vi,iii,vi,ii,vi","0.138,0.06,0.215,0.15,0.821"
553,"vi,iii,vi,ii,I","0.138,0.06,0.215,0.15,0.107"
554,"vi,iii,vi,V,I","0.138,0.06,0.215,0.104,0.421"
555,"vi,iii,vi,V,vi","0.138,0.06,0.215,0.104,0.368"
556,"vi,iii,vi,V,IV","0.138,0.06,0.215,0.104,0.158"
557,"vi,iii,vi,IV,iii","0.138,0.06,0.215,0.072,0.185"
558,"vi,iii,vi,IV,ii","0.138,0.06,0.215,0.072,0.148"
559,"vi,iii,V,vi,iii","0.138,0.06,0.121,0.384,0.74"
560,"vi,iii,V,vi,I","0.138,0.06,0.121,0.384,0.078"
561,"vi,iii,V,vi,V","0.138,0.06,0.121,0.384,0.052"
562,"vi,iii,V,I,vi","0.138,0.06,0.121,0.255,0.846"
563,"vi,iii,V,IV,V","0.138,0.06,0.121,0.142,0.357"
564,"vi,iii,V,IV,vi","0.138,0.06,0.121,0.142,0.286"
565,"vi,iii,V,IV,ii","0.138,0.06,0.121,0.142,0.143"
566,"vi,iii,V,IV,I","0.138,0.06,0.121,0.142,0.071"
567,"vi,iii,V,ii,vi","0.138,0.06,0.121,0.116,0.455"
568,"vi,iii,V,ii,iii","0.138,0.06,0.121,0.116,0.136"
569,"vi,iii,V,ii,V","0.138,0.06,0.121,0.116,0.091"
570,"vi,iii,ii,vi,iii","0.138,0.06,0.055,0.312,0.519"
571,"vi,iii,ii,vi,V","0.138,0.06,0.055,0.312,0.074"
572,"vi,iii,ii,V,vi","0.138,0.06,0.055,0.239,0.5"
573,"vi,iii,ii,V,I","0.138,0.06,0.055,0.239,0.375"
574,"vi,iii,ii,iii,vi","0.138,0.06,0.055,0.094,0.75"
575,"vi,iii,ii,iii,IV","0.138,0.06,0.055,0.094,0.25"
576,"vi,iii,ii,IV,vi","0.138,0.06,0.055,0.094,0.5"
577,"vi,iii,ii,IV,V","0.138,0.06,0.055,0.094,0.25"
578,"vi,iii,ii,IV,ii","0.138,0.06,0.055,0.094,0.25"
579,"vi,iii,ii,I,IV","0.138,0.06,0.055,0.058,1"
580,"vi,iii,ii,V/vi,vi","0.138,0.06,0.055,0.051,1"
581,"V,vi,IV,I,V","0.137,0.26,0.352,0.534,0.886"
582,"V,vi,IV,V,vi","0.137,0.26,0.352,0.329,0.658"
583,"V,vi,IV,V,I","0.137,0.26,0.352,0.329,0.168"
584,"V,vi,V,IV,V","0.137,0.26,0.201,0.417,0.539"
585,"V,vi,V,IV,I","0.137,0.26,0.201,0.417,0.169"
586,"V,vi,V,IV,iii","0.137,0.26,0.201,0.417,0.065"
587,"V,vi,V,vi,V","0.137,0.26,0.201,0.307,0.62"
588,"V,vi,V,vi,I","0.137,0.26,0.201,0.307,0.168"
589,"V,vi,V,I,V","0.137,0.26,0.201,0.113,0.426"
590,"V,vi,V,I,IV","0.137,0.26,0.201,0.113,0.315"
591,"V,vi,V,I,ii","0.137,0.26,0.201,0.113,0.099"
592,"V,vi,V,I,vi","0.137,0.26,0.201,0.113,0.056"
593,"V,vi,I,IV,V","0.137,0.26,0.111,0.42,0.799"
594,"V,vi,I,IV,I","0.137,0.26,0.111,0.42,0.08"
595,"V,vi,I,V,vi","0.137,0.26,0.111,0.268,0.608"
596,"V,vi,I,V,IV","0.137,0.26,0.111,0.268,0.171"
597,"V,vi,I,V,I","0.137,0.26,0.111,0.268,0.106"
598,"V,vi,I,ii,IV","0.137,0.26,0.111,0.064,0.245"
599,"V,vi,I,ii,iii","0.137,0.26,0.111,0.064,0.184"
600,"V,vi,I,ii,vi","0.137,0.26,0.111,0.064,0.184"
601,"V,vi,iii,IV,V","0.137,0.26,0.071,0.609,0.561"
602,"V,vi,iii,IV,I","0.137,0.26,0.071,0.609,0.235"
603,"V,vi,iii,IV,ii","0.137,0.26,0.071,0.609,0.058"
604,"V,vi,iii,V,vi","0.137,0.26,0.071,0.122,0.721"
605,"V,vi,iii,V,IV","0.137,0.26,0.071,0.122,0.082"
606,"V,vi,iii,vi,V","0.137,0.26,0.071,0.117,0.333"
607,"V,vi,iii,vi,iii","0.137,0.26,0.071,0.117,0.3"
608,"V,vi,iii,vi,I","0.137,0.26,0.071,0.117,0.067"
609,"V,I,IV,V,I","0.137,0.211,0.28,0.352,0.602"
610,"V,I,IV,V,vi","0.137,0.211,0.28,0.352,0.203"
611,"V,I,IV,V,IV","0.137,0.211,0.28,0.352,0.068"
612,"V,I,IV,I,V","0.137,0.211,0.28,0.245,0.579"
613,"V,I,IV,I,IV","0.137,0.211,0.28,0.245,0.242"
614,"V,I,IV,vi,V","0.137,0.211,0.28,0.149,0.859"
615,"V,I,IV,ii,V","0.137,0.211,0.28,0.057,0.472"
616,"V,I,IV,ii,V/vi","0.137,0.211,0.28,0.057,0.101"
617,"V,I,IV,ii,iii","0.137,0.211,0.28,0.057,0.101"
618,"V,I,IV,ii,V<sup>7</sup>","0.137,0.211,0.28,0.057,0.079"
619,"V,I,V,IV,V","0.137,0.211,0.192,0.322,0.489"
620,"V,I,V,IV,I","0.137,0.211,0.192,0.322,0.266"
621,"V,I,V,IV,vi","0.137,0.211,0.192,0.322,0.065"
622,"V,I,V,I,V","0.137,0.211,0.192,0.281,0.699"
623,"V,I,V,I,IV","0.137,0.211,0.192,0.281,0.169"
624,"V,I,V,vi,IV","0.137,0.211,0.192,0.246,0.422"
625,"V,I,V,vi,V","0.137,0.211,0.192,0.246,0.207"
626,"V,I,V,vi,iii","0.137,0.211,0.192,0.246,0.095"
627,"V,I,V,vi,I","0.137,0.211,0.192,0.246,0.08"
628,"V,I,vi,IV,V","0.137,0.211,0.127,0.443,0.831"
629,"V,I,vi,IV,I","0.137,0.211,0.127,0.443,0.058"
630,"V,I,vi,ii,V","0.137,0.211,0.127,0.164,0.798"
631,"V,I,vi,V,I","0.137,0.211,0.127,0.149,0.625"
632,"V,I,vi,V,IV","0.137,0.211,0.127,0.149,0.163"
633,"V,I,vi,V,vi","0.137,0.211,0.127,0.149,0.096"
634,"V,I,vi,V,ii","0.137,0.211,0.127,0.149,0.058"
635,"V,I,vi,iii,V","0.137,0.211,0.127,0.08,0.655"
636,"V,I,vi,iii,IV","0.137,0.211,0.127,0.08,0.207"
637,"V,I,vi,iii,I","0.137,0.211,0.127,0.08,0.069"
638,"V,I,ii,iii,IV","0.137,0.211,0.061,0.237,0.929"
639,"V,I,ii,vi,V","0.137,0.211,0.061,0.179,0.627"
640,"V,I,ii,vi,IV","0.137,0.211,0.061,0.179,0.237"
641,"V,I,ii,IV,V","0.137,0.211,0.061,0.172,0.643"
642,"V,I,ii,IV,I","0.137,0.211,0.061,0.172,0.179"
643,"V,I,ii,I,V","0.137,0.211,0.061,0.09,0.5"
644,"V,I,ii,I,IV","0.137,0.211,0.061,0.09,0.167"
645,"V,I,ii,I,iii","0.137,0.211,0.061,0.09,0.133"
646,"V,I,ii,I,ii","0.137,0.211,0.061,0.09,0.133"
647,"V,I,ii,V,I","0.137,0.211,0.061,0.084,0.28"
648,"V,I,ii,V,vi","0.137,0.211,0.061,0.084,0.24"
649,"V,I,ii,V,ii","0.137,0.211,0.061,0.084,0.16"
650,"V,I,ii,I<sup>6</sup>,IV","0.137,0.211,0.061,0.078,0.857"
651,"V,I,ii,I<sup>6</sup>,ii<sup>6</sup><sub>5</sub>","0.137,0.211,0.061,0.078,0.071"
652,"V,I,V<sup>6</sup>,vi,V","0.137,0.211,0.054,0.639,0.337"
653,"V,I,V<sup>6</sup>,vi,IV","0.137,0.211,0.054,0.639,0.205"
654,"V,I,V<sup>6</sup>,vi,ii","0.137,0.211,0.054,0.639,0.156"
655,"V,I,V<sup>6</sup>,vi<sup>7</sup>,V","0.137,0.211,0.054,0.09,0.31"
656,"V,I,V<sup>6</sup>,vi<sup>7</sup>,ii<sup>7</sup>","0.137,0.211,0.054,0.09,0.207"
657,"V,I,V<sup>6</sup>,vi<sup>7</sup>,IV","0.137,0.211,0.054,0.09,0.138"
658,"V,I,V<sup>6</sup>,vi<sup>7</sup>,iii","0.137,0.211,0.054,0.09,0.069"
659,"V,I,V<sup>6</sup>,vi<sup>7</sup>,V<sup>7</sup>/V","0.137,0.211,0.054,0.09,0.069"
660,"V,I,V<sup>6</sup>,vi<sup>7</sup>,I<sup>6</sup>","0.137,0.211,0.054,0.09,0.069"
661,"V,I,V<sup>6</sup>,IV<sup>6</sup>,I<sup>6</sup><sub>4</sub>","0.137,0.211,0.054,0.074,0.667"
662,"V,I,V<sup>6</sup>,IV<sup>6</sup>,IV","0.137,0.211,0.054,0.074,0.167"
663,"V,I,V<sup>6</sup>,IV<sup>6</sup>,V","0.137,0.211,0.054,0.074,0.083"
664,"V,I,V<sup>6</sup>,IV,V","0.137,0.211,0.054,0.066,0.7"
665,"V,I,V<sup>6</sup>,IV,vi","0.137,0.211,0.054,0.066,0.3"
666,"V,IV,I,V,IV","0.137,0.205,0.303,0.514,0.724"
667,"V,IV,I,V,vi","0.137,0.205,0.303,0.514,0.119"
668,"V,IV,I,V,I","0.137,0.205,0.303,0.514,0.079"
669,"V,IV,I,vi,V","0.137,0.205,0.303,0.174,0.851"
670,"V,IV,I,vi,I","0.137,0.205,0.303,0.174,0.064"
671,"V,IV,I,IV,V","0.137,0.205,0.303,0.133,0.543"
672,"V,IV,I,IV,I","0.137,0.205,0.303,0.133,0.323"
673,"V,IV,I,IV,vi","0.137,0.205,0.303,0.133,0.081"
674,"V,IV,V,vi,V","0.137,0.205,0.277,0.324,0.617"
675,"V,IV,V,vi,IV","0.137,0.205,0.277,0.324,0.157"
676,"V,IV,V,vi,I","0.137,0.205,0.277,0.324,0.077"
677,"V,IV,V,I,V","0.137,0.205,0.277,0.276,0.567"
678,"V,IV,V,I,IV","0.137,0.205,0.277,0.276,0.128"
679,"V,IV,V,I,vi","0.137,0.205,0.277,0.276,0.06"
680,"V,IV,V,IV,V","0.137,0.205,0.277,0.264,0.67"
681,"V,IV,V,IV,I","0.137,0.205,0.277,0.264,0.106"
682,"V,IV,V,IV,vi","0.137,0.205,0.277,0.264,0.061"
683,"V,IV,vi,V,IV","0.137,0.205,0.128,0.523,0.774"
684,"V,IV,vi,V,I","0.137,0.205,0.128,0.523,0.117"
685,"V,IV,vi,V,vi","0.137,0.205,0.128,0.523,0.056"
686,"V,IV,vi,I,V","0.137,0.205,0.128,0.261,0.862"
687,"V,IV,vi,I,IV","0.137,0.205,0.128,0.261,0.064"
688,"V,IV,vi,IV,V","0.137,0.205,0.128,0.072,0.373"
689,"V,IV,vi,IV,vi","0.137,0.205,0.128,0.072,0.314"
690,"V,IV,vi,IV,I","0.137,0.205,0.128,0.072,0.235"
691,"V,IV,iii,vi,V","0.137,0.205,0.067,0.301,0.818"
692,"V,IV,iii,vi,IV","0.137,0.205,0.067,0.301,0.055"
693,"V,IV,iii,ii,V","0.137,0.205,0.067,0.216,0.308"
694,"V,IV,iii,ii,I","0.137,0.205,0.067,0.216,0.244"
695,"V,IV,iii,ii,iii","0.137,0.205,0.067,0.216,0.154"
696,"V,IV,iii,ii,IV","0.137,0.205,0.067,0.216,0.115"
697,"V,IV,iii,ii,vi","0.137,0.205,0.067,0.216,0.064"
698,"V,IV,iii,IV,V","0.137,0.205,0.067,0.19,0.31"
699,"V,IV,iii,IV,iii","0.137,0.205,0.067,0.19,0.282"
700,"V,IV,iii,IV,I","0.137,0.205,0.067,0.19,0.197"
701,"V,IV,iii,IV,I<sup>6</sup>","0.137,0.205,0.067,0.19,0.085"
702,"V,IV,iii,V,IV","0.137,0.205,0.067,0.08,0.517"
703,"V,IV,iii,V,vi","0.137,0.205,0.067,0.08,0.414"
704,"V,IV,iii,V,I","0.137,0.205,0.067,0.08,0.069"
705,"V,IV,iii,I,V","0.137,0.205,0.067,0.07,0.32"
706,"V,IV,iii,I,IV","0.137,0.205,0.067,0.07,0.28"
707,"V,IV,iii,I,ii","0.137,0.205,0.067,0.07,0.24"
708,"V,IV,iii,I,iii","0.137,0.205,0.067,0.07,0.08"
709,"V,IV,iii,I,vi","0.137,0.205,0.067,0.07,0.08"
710,"V,ii,IV,I,V","0.137,0.064,0.337,0.501,0.876"
711,"V,ii,IV,V,ii","0.137,0.064,0.337,0.229,0.435"
712,"V,ii,IV,V,vi","0.137,0.064,0.337,0.229,0.33"
713,"V,ii,IV,V,I","0.137,0.064,0.337,0.229,0.087"
714,"V,ii,IV,V,IV","0.137,0.064,0.337,0.229,0.07"
715,"V,ii,IV,vi,V","0.137,0.064,0.337,0.161,0.931"
716,"V,ii,vi,I,V","0.137,0.064,0.211,0.379,0.899"
717,"V,ii,vi,IV,V","0.137,0.064,0.211,0.289,0.701"
718,"V,ii,vi,IV,I","0.137,0.064,0.211,0.289,0.187"
719,"V,ii,vi,IV,ii","0.137,0.064,0.211,0.289,0.112"
720,"V,ii,vi,V,ii","0.137,0.064,0.211,0.162,0.571"
721,"V,ii,vi,V,I","0.137,0.064,0.211,0.162,0.179"
722,"V,ii,vi,V,IV","0.137,0.064,0.211,0.162,0.179"
723,"V,ii,I,V,ii","0.137,0.064,0.153,0.531,0.713"
724,"V,ii,I,V,IV","0.137,0.064,0.153,0.531,0.066"
725,"V,ii,I,vi,V","0.137,0.064,0.153,0.149,0.684"
726,"V,ii,I,vi,I","0.137,0.064,0.153,0.149,0.263"
727,"V,ii,I,vi,ii","0.137,0.064,0.153,0.149,0.053"
728,"V,ii,I,IV,V","0.137,0.064,0.153,0.099,0.64"
729,"V,ii,I,IV,I","0.137,0.064,0.153,0.099,0.08"
730,"V,ii,I,IV,iii","0.137,0.064,0.153,0.099,0.08"
731,"V,ii,I,ii,IV","0.137,0.064,0.153,0.089,0.364"
732,"V,ii,I,ii,I","0.137,0.064,0.153,0.089,0.273"
733,"V,ii,I,ii,V","0.137,0.064,0.153,0.089,0.273"
734,"V,ii,I,ii,vi","0.137,0.064,0.153,0.089,0.091"
735,"V,ii,V,ii,V","0.137,0.064,0.105,0.5,0.835"
736,"V,ii,V,I,vi","0.137,0.064,0.105,0.193,0.345"
737,"V,ii,V,I,V<sup>6</sup>","0.137,0.064,0.105,0.193,0.207"
738,"V,ii,V,I,I<sup>6</sup>","0.137,0.064,0.105,0.193,0.103"
739,"V,ii,V,I,V<sup>4</sup><sub>3</sub>/IV","0.137,0.064,0.105,0.193,0.069"
740,"V,ii,V,I,V","0.137,0.064,0.105,0.193,0.069"
741,"V,ii,V,I,ii","0.137,0.064,0.105,0.193,0.069"
742,"V,ii,V,I,V/vi","0.137,0.064,0.105,0.193,0.069"
743,"V,ii,V,vi,V","0.137,0.064,0.105,0.096,0.412"
744,"V,ii,V,vi,IV","0.137,0.064,0.105,0.096,0.353"
745,"V,ii,V,vi,ii","0.137,0.064,0.105,0.096,0.118"
746,"V,ii,V,IV,V","0.137,0.064,0.105,0.07,0.667"
747,"V,ii,V,IV,I","0.137,0.064,0.105,0.07,0.167"
748,"V,ii,iii,IV,V","0.137,0.064,0.072,0.77,0.648"
749,"V,ii,iii,IV,vi","0.137,0.064,0.072,0.77,0.154"
750,"V,ii,iii,IV,I","0.137,0.064,0.072,0.77,0.121"
751,"V,ii,iii,vi,I","0.137,0.064,0.072,0.089,0.4"
752,"V,ii,iii,vi,IV","0.137,0.064,0.072,0.089,0.2"
753,"V,ii,iii,vi,V","0.137,0.064,0.072,0.089,0.2"
